,Unnamed: 0,datetime_h,median_block_net_profit,median_tail_gas_price,median_total_gas_used,median_base_fee_per_gas,predict,predict_lb,predict_ub,is_in_ci,datetime_d,validator_number,annual_full_reward,annual_total_reward_with_mev_actual,annual_total_reward_with_mev,annual_total_reward_with_mev_lb,annual_total_reward_with_mev_ub
5616,5616,2022-03-27 12,0.0579194655893493,2.1412571328e-08,13242149.0,2.0963834795e-08,0.036122360224901,0.0188759545356511,0.0691263006463105,True,2022-03-27,323808,1.653397638322409,2.12378938468714,1.9467646425948315,1.8066983141483777,2.2148054646876236
5617,5617,2022-03-27 13,0.0518204769126239,2.35199367985e-08,14554276.0,2.28250895655e-08,0.0423671997680091,0.0221392326427358,0.0810768668069147,True,2022-03-27,323808,1.653397638322409,2.0742565738175736,1.9974819782704964,1.8332009600558639,2.311861741521911
5618,5618,2022-03-27 14,0.0449422765364273,2.2857291939e-08,13516067.0,2.192788219e-08,0.0407554391349807,0.0212969975218307,0.077992487785308,True,2022-03-27,323808,1.653397638322409,2.0183954111862557,1.9843920974993665,1.8263607648755218,2.2868120208509537
5619,5619,2022-03-27 15,0.0465627348467384,2.53490121145e-08,14502319.0,2.44607000945e-08,0.0455546477902065,0.0238048525960597,0.0871765925420293,True,2022-03-27,323808,1.653397638322409,2.0315559299642234,2.0233687717060347,1.8467282581870132,2.3614005383959977
5620,5620,2022-03-27 16,0.0551522697508195,4.2509052281e-08,13635693.0,4.1509052281e-08,0.0637868730758648,0.0333322105381522,0.1220670669933327,True,2022-03-27,323808,1.653397638322409,2.1013156607020447,2.1714414136921008,1.9241044994043854,2.644762807740911
5621,5621,2022-03-27 17,0.0481730212881195,3.8148223411e-08,15525988.0,3.7257603802e-08,0.0636416798477382,0.0332563389518012,0.1217892149737856,True,2022-03-27,323808,1.653397638322409,2.044633838118265,2.1702622298815486,1.9234883098791549,2.6425062382892452
5622,5622,2022-03-27 18,0.0507980778022831,4.0218590005e-08,13477590.0,3.9385161812e-08,0.0601193586907107,0.0314157290468543,0.1150486523483764,True,2022-03-27,323808,1.653397638322409,2.0659531805092732,2.1416557711814828,1.908539834461533,2.5877628978149483
5623,5623,2022-03-27 19,0.0467529098614623,4.261223326e-08,13048034.0,4.1721915863e-08,0.0616595046766296,0.0322205415072658,0.1179959845215506,True,2022-03-27,323808,1.653397638322409,2.033100432427785,2.1541640350717186,1.9150761022757627,2.6116995953301845
5624,5624,2022-03-27 20,0.0657570225539904,4.6868102312e-08,14467563.5,4.6628293404e-08,0.0680180914072181,0.0355432588848208,0.130164225336593,True,2022-03-27,323808,1.653397638322409,2.187441942084156,2.2058051661867673,1.9420614829936391,2.7105237123853483
5625,5625,2022-03-27 21,0.1644364145165981,1.23852275304e-07,13895366.0,1.22423040915e-07,0.1455141552438593,0.0760392887279639,0.2784661683526107,True,2022-03-27,323808,1.653397638322409,2.9888645906390585,2.835187851844932,2.2709491549520147,3.9149548868576387
5626,5626,2022-03-27 22,0.0667677994990345,5.60767730135e-08,14263489.0,5.54422085765e-08,0.0790175389738701,0.0412910857403394,0.1512135453340045,True,2022-03-27,323808,1.653397638322409,2.1956509462164724,2.295136952957883,1.9887423403678943,2.881475331027237
5627,5627,2022-03-27 23,0.0516898149813651,4.3962779934e-08,14351994.0,4.31588016e-08,0.0667223801707414,0.0348661772589583,0.1276846607697752,True,2022-03-27,323808,1.653397638322409,2.073195405635119,2.1952820740775962,1.9365625785203302,2.6903859798468766
5628,5628,2022-03-28 00,0.0533474997656653,3.6506574989e-08,13850377.0,3.5586726211e-08,0.0573923589263037,0.0299907190737741,0.1098300729309975,True,2022-03-28,324708,1.6511046698302647,2.083164412379714,2.115923601006563,1.8939985714902519,2.540615016954257
5629,5629,2022-03-28 01,0.052962355936037,2.7618278191e-08,14006489.0,2.6635575438e-08,0.047741709380925,0.0249477146597797,0.0913619081224822,True,2022-03-28,324708,1.6511046698302647,2.080045144473914,2.0377632902829688,1.853155435479059,2.3910419241649397
5630,5630,2022-03-28 02,0.0548088612662438,3.0793347061e-08,13827388.0,2.9991853524e-08,0.0502260261728275,0.026245909199786,0.0961160722576193,True,2022-03-28,324708,1.6511046698302647,2.094999933753445,2.0578836947674444,1.8636694727103822,2.4295457517348904
5631,5631,2022-03-28 03,0.0554024557085594,3.5850275656000004e-08,14774726.5,3.5366815247e-08,0.0570833743401242,0.0298292573374804,0.1092387781964802,True,2022-03-28,324708,1.6511046698302647,2.0998074366927058,2.113421144446408,1.8926908979062775,2.5358261392769785
5632,5632,2022-03-28 04,0.0582010564756877,3.7481052782e-08,13860302.5,3.67173344095e-08,0.0578397699680665,0.030224516379113,0.1106862703110362,True,2022-03-28,324708,1.6511046698302647,2.1224732173245164,2.119547169128161,1.8958920885997173,2.547549332924377
5633,5633,2022-03-28 05,0.0612667845939356,3.0071464652e-08,14223924.0,2.9200121442000002e-08,0.0506199708859371,0.0264517673565598,0.09686995269364,True,2022-03-28,324708,1.6511046698302647,2.147302454070665,2.061074240755026,1.865336711523974,2.4356514059554435
5634,5634,2022-03-28 06,0.0490895979519811,2.5056571701e-08,13251374.5,2.43171939325e-08,0.0419203688902435,0.0219057385055499,0.080221779669691,True,2022-03-28,324708,1.6511046698302647,2.0486797979272624,1.9906164345775526,1.8285185651512765,2.3008183700635616
5635,5635,2022-03-28 07,0.050492786601374,2.2618396846e-08,13881078.0,2.1585077134e-08,0.0417165145905561,0.0217992132267797,0.0798316696790787,True,2022-03-28,324708,1.6511046698302647,2.0600441791872663,1.9889654249402233,1.8276558202293471,2.2976588813743017
5636,5636,2022-03-28 08,0.0508842292804643,2.1710259898e-08,14154185.0,2.0895392867e-08,0.0399536672357816,0.0208780268393222,0.0764581604321472,True,2022-03-28,324708,1.6511046698302647,2.0632144612790895,1.9746881790036095,1.8201951603080155,2.2703369348328537
5637,5637,2022-03-28 09,0.0511888641185889,2.5791135189e-08,14785907.0,2.5077307855e-08,0.0457975591118523,0.0239317873543377,0.0876414448093214,True,2022-03-28,324708,1.6511046698302647,2.065681689364939,2.0220176776783902,1.8449274718075406,2.360910007424514
5638,5638,2022-03-28 10,0.0530541189128594,2.7170473112e-08,12723626.0,2.6170473112e-08,0.0444475935555768,0.0232263548104425,0.0850580553429562,True,2022-03-28,324708,1.6511046698302647,2.0807883299711842,2.011084348595358,1.8392141955595405,2.3399872164287663
5639,5639,2022-03-28 11,0.0541013146676339,2.6619411428e-08,14636802.0,2.5663825444e-08,0.0477507171614287,0.0249524217291461,0.0913791460476726,True,2022-03-28,324708,1.6511046698302647,2.0892695358420155,2.037836244017304,1.8531935578875605,2.391181533585298
5640,5640,2022-03-28 12,0.0660776519329626,3.3425149754e-08,13580226.0,3.2948567217e-08,0.0512542793841017,0.0267832290411891,0.0980838102509435,True,2022-03-28,324708,1.6511046698302647,2.186265519126571,2.0662114855672056,1.8680212094058806,2.4454824005850697
5641,5641,2022-03-28 13,0.0702435680236139,4.7463249859e-08,14256249.0,4.6807491032e-08,0.0697108527603379,0.036427821414574,0.1334036130590364,True,2022-03-28,324708,1.6511046698302647,2.220005144067117,2.2156906997067587,1.9461324632817556,2.731536385780146
5642,5642,2022-03-28 14,0.0740456879119415,5.7226797506e-08,13797662.0,5.6755916428e-08,0.0779234447921852,0.0407193603075984,0.1491198094079011,True,2022-03-28,324708,1.6511046698302647,2.2507983948719135,2.2822042273234238,1.9808895033943354,2.8588213715465707
5643,5643,2022-03-28 15,0.0896189012014612,7.902381265e-08,14838637.0,7.802381265e-08,0.1067299620062397,0.0557723774935604,0.2042459959891191,True,2022-03-28,324708,1.6511046698302647,2.3769253652846505,2.5155073149268103,2.102803421732174,3.3052866433331825
5644,5644,2022-03-28 16,0.3970131665688106,1.88689486479e-07,15127321.0,1.86741279041e-07,0.213758677805865,0.1117008705616898,0.4090637083448383,True,2022-03-28,324708,1.6511046698302647,4.866501966609704,3.3823295577106487,2.5557665488204093,4.964098929920117
5645,5645,2022-03-28 17,0.1647363117971596,1.28710621365e-07,12510644.0,1.28025061259e-07,0.1377876716816989,0.0720017687117813,0.2636802235159143,True,2022-03-28,324708,1.6511046698302647,2.9852989390326568,2.76704274030753,2.234244756795299,3.786642604843111
5646,5646,2022-03-28 18,0.0911080576330072,7.50728747175e-08,14427504.5,7.47394541555e-08,0.0983804368432308,0.051409283377064,0.1882677547258527,True,2022-03-28,324708,1.6511046698302647,2.3889859969404137,2.447884770136781,2.0674668580886473,3.1758793639494343
5647,5647,2022-03-28 19,0.0721450012622876,8.29405404645e-08,13724666.0,8.2605963229e-08,0.1029569146729986,0.0538007491315237,0.197025626038581,True,2022-03-28,324708,1.6511046698302647,2.235404792770149,2.4849495218420774,2.0868352649067057,3.246809091514548
5648,5648,2022-03-28 20,0.080852326343002,6.573679120500001e-08,13026430.5,6.47316530445e-08,0.0854445662411725,0.0446495671280909,0.1635127587955691,True,2022-03-28,324708,1.6511046698302647,2.3059251479731704,2.3431175561805717,2.012720126281764,2.9753894213010863
5649,5649,2022-03-28 21,0.0749036769327,5.6263435906e-08,13693800.0,5.5553128614e-08,0.0774480547365497,0.0404709424018745,0.1482100694101401,True,2022-03-28,324708,1.6511046698302647,2.257747221284539,2.278354058038065,1.9788775744967637,2.8514534155796345
5650,5650,2022-03-28 22,0.0615554463445582,5.3345098672e-08,13633032.5,5.2597057451e-08,0.0743278157246625,0.038840442917288,0.1422389595856116,True,2022-03-28,324708,1.6511046698302647,2.1496403166172833,2.253083339258543,1.9656722098474,2.803093582694258
5651,5651,2022-03-28 23,0.0803776090578047,5.49942540475e-08,13677038.5,5.415829318e-08,0.0765493429979917,0.0400013152287867,0.1464902311313804,True,2022-03-28,324708,1.6511046698302647,2.3020804274346807,2.271075419599653,1.9750740786180472,2.837524498812933
5652,5652,2022-03-29 00,0.0713597879688801,4.4343441105e-08,14330345.0,4.3458942775e-08,0.067425774160119,0.0352337399786,0.1290307252040977,True,2022-03-29,325608,1.6488212147728614,2.2251644569553655,2.1933910683584026,1.9333894360564978,2.690948561587854
5653,5653,2022-03-29 01,0.0547010103263394,4.5141115585e-08,13498613.0,4.4918721332e-08,0.0631032717518808,0.0329749905937273,0.1207588792019006,True,2022-03-29,325608,1.6488212147728614,2.090618458563577,2.158480019387908,1.915146459433263,2.6241403117396382
5654,5654,2022-03-29 02,0.0508287046344699,3.8438728881e-08,13159317.0,3.7594886877e-08,0.0573135343740085,0.0299495288343724,0.1096792286986068,True,2022-03-29,325608,1.6488212147728614,2.0593434606873626,2.1117187255734793,1.8907110667686124,2.5346545961136027
5655,5655,2022-03-29 03,0.0578634598331217,3.6626791223e-08,14588123.0,3.6028429375e-08,0.0580438986745093,0.030331185050768,0.1110769054258032,True,2022-03-29,325608,1.6488212147728614,2.116160244124546,2.117617573382676,1.8937935448338847,2.5459430480471585
5656,5656,2022-03-29 04,0.06071589941592,3.428278926e-08,14284460.0,3.3561909567e-08,0.0550591582993842,0.0287714911860592,0.1053650953658436,True,2022-03-29,325608,1.6488212147728614,2.1391982088393044,2.093511070352947,1.8811965480604296,2.4998111406748524
5657,5657,2022-03-29 05,0.0578528289305066,3.01128256225e-08,13765417.0,2.9375496854e-08,0.0489896486747704,0.0255998327724173,0.0937500529246935,True,2022-03-29,325608,1.6488212147728614,2.1160743827584336,2.0444901727988043,1.855580385999929,2.4060012876867916
5658,5658,2022-03-29 06,0.056942810435002,2.7481726224e-08,12746887.0,2.6561588417e-08,0.0444804871068436,0.0232435435316213,0.0851210027666581,True,2022-03-29,325608,1.6488212147728614,2.108724542952661,2.008071555653851,1.8365496206457443,2.3363080488671017
5659,5659,2022-03-29 07,0.0419521816209309,2.5221116958e-08,13470875.0,2.4303514791e-08,0.0434264571919535,0.0226927539201783,0.083103936652117,True,2022-03-29,325608,1.6488212147728614,1.9876514868384252,1.9995585956830335,1.8321011226967603,2.320017047208604
5660,5660,2022-03-29 08,0.0519142377473593,2.35780571545e-08,14228457.5,2.2793410079e-08,0.0422789127379876,0.0220930977292251,0.0809079145086034,True,2022-03-29,325608,1.6488212147728614,2.0681108588479624,1.990290357786423,1.8272579497680586,2.30228069234935
5661,5661,2022-03-29 09,0.0552747767745051,3e-08,15294121.5,2.93167557805e-08,0.0520314868969825,0.0271893634572838,0.0995711294589207,True,2022-03-29,325608,1.6488212147728614,2.0952525308387857,2.069057831323083,1.8684183623244108,2.4530156947950648
5662,5662,2022-03-29 10,0.0567726816266063,3.9861428576e-08,14769420.0,3.9552008473e-08,0.0610877832880399,0.0319217850896095,0.1169018980790394,True,2022-03-29,325608,1.6488212147728614,2.1073504835305368,2.1422017597560536,1.9066401578843792,2.592989084015195
5663,5663,2022-03-29 11,0.0689362384545191,3.6619614875e-08,14567125.5,3.5965920153e-08,0.0582265885567492,0.0304266507371134,0.1114265136918779,True,2022-03-29,325608,1.6488212147728614,2.2055904584268697,2.119093083358827,1.894564581362321,2.548766688185371
5664,5664,2022-03-29 12,0.0683688598625451,3.611580786e-08,13451644.0,3.5168088674e-08,0.056006716437098,0.0292666433360297,0.1071784095651274,True,2022-03-29,325608,1.6488212147728614,2.20100797820165,2.101164102190493,1.8851956854403231,2.514456523101809
5665,5665,2022-03-29 13,0.0830329562660259,4.92790981665e-08,13702803.5,4.856798527e-08,0.070119035345489,0.0366411196562057,0.1341847400929307,True,2022-03-29,325608,1.6488212147728614,2.319443768237134,2.215143415552839,1.9447562546732624,2.7325753900277356
5666,5666,2022-03-29 14,0.0702285582801742,4.85876599555e-08,13619381.5,4.7606255409e-08,0.0701882191263619,0.0366772720530654,0.1343171350639872,True,2022-03-29,325608,1.6488212147728614,2.2160279866126262,2.215702184093353,1.9450482425029891,2.733644688985023
