,datetime_h,median_block_net_profit,median_tail_gas_price,median_total_gas_used,median_base_fee_per_gas,predict,predict_lb,predict_ub,is_in_ci
96,2021-08-09 12,0.1157012643040507,3.3328542759e-08,13421868.0,3.1927900316e-08,0.06512676801429224,0.03909577532764618,0.10848987841886094,False
97,2021-08-09 13,0.1372271024000948,4.1e-08,13871573.0,3.9124760271e-08,0.07917928425629127,0.047491993032583994,0.13200875884566904,False
98,2021-08-09 14,0.1687321536804895,5.56574710485e-08,14067829.0,5.27623762955e-08,0.1035713035509006,0.062071076911245596,0.1728182505125725,True
99,2021-08-09 15,0.1505862251595511,5.2e-08,13365342.0,5.0395626679e-08,0.08933167240508892,0.05349322592272479,0.1491805281330029,False
100,2021-08-09 16,0.177336798051011,4.9945808822e-08,13874088.0,4.7119509459e-08,0.09539313558047612,0.05707637533557611,0.15943286977095578,False
101,2021-08-09 17,0.2016944852199036,5.1948e-08,13630947.0,4.984740627e-08,0.09281882713393243,0.05549114710217226,0.15525602047216597,False
102,2021-08-09 18,0.171094960735838,6.416e-08,13185940.0,6.2246589709e-08,0.10412715904205752,0.06220172350027522,0.17431133158427625,True
103,2021-08-09 19,0.2394069989602099,6.2e-08,12639781.0,5.87337746355e-08,0.10523403614124982,0.06281274681756505,0.1763050164760677,False
104,2021-08-09 20,0.1791843303158344,6.4955986554e-08,13892312.0,6.1494892099e-08,0.11620600705313826,0.06930677032334585,0.19484151421618442,True
105,2021-08-09 21,0.2319101106616383,8.2830640594e-08,13675409.0,8.0959588711e-08,0.1276772841435969,0.07608842393913275,0.21424400772613217,False
106,2021-08-09 22,0.16571745826532464,4.52270166985e-08,12844968.5,4.3424976211e-08,0.07973943779797488,0.04748301814602186,0.13390846219554833,False
107,2021-08-09 23,0.20381708298325746,5.06026505005e-08,13629294.0,4.84505758545e-08,0.0912078466278121,0.05427000332754987,0.1532867288817627,False
108,2021-08-10 00,0.14204252373291254,4.80000007295e-08,13135058.5,4.6063621329999996e-08,0.0848433566933755,0.05044408771937216,0.14270047294828825,True
109,2021-08-10 01,0.09363871538195259,3.5829410424e-08,12320390.5,3.36277257255e-08,0.06862766153118255,0.04077168685104462,0.11551535614518933,True
110,2021-08-10 02,0.11701254985264214,4.598230782e-08,13783084.0,4.4231197115500004e-08,0.08398246300277057,0.049855994294668964,0.14146852734147358,True
111,2021-08-10 03,0.12543517406483162,4.42822799495e-08,13173207.0,4.2552579162000006e-08,0.07935489161654745,0.047073230077332696,0.13377452138144863,True
112,2021-08-10 04,0.1096140018962341,3.94155563025e-08,13193123.0,3.7327628562e-08,0.07536809491008271,0.04467469179580271,0.12714916437115562,True
113,2021-08-10 05,0.1082269800132271,3.71720852745e-08,13177187.5,3.48359158315e-08,0.0739637154319497,0.043809537281641844,0.12487306508920543,True
114,2021-08-10 06,0.10297874530200345,3.13743576545e-08,12179335.5,2.9690574701500002e-08,0.05982225097598584,0.03540713512605015,0.10107289672247091,False
115,2021-08-10 07,0.09870694719936754,3.2763881249e-08,14046508.0,3.0572243654e-08,0.07052573747887925,0.041711510531290845,0.11924477401048621,True
116,2021-08-10 08,0.11568619441046896,4.4664729356e-08,14828766.0,4.2460538926e-08,0.08863937709792358,0.05238625528965904,0.14998092779994615,True
117,2021-08-10 09,0.1348183189691267,3.7369804934e-08,13136964.0,3.5170436222e-08,0.07314209118315962,0.043195900058694996,0.1238489184245802,False
118,2021-08-10 10,0.0952997259238754,3.2e-08,13648846.0,3.0360425904e-08,0.06483303972093499,0.0382611600474999,0.10985874537620012,True
119,2021-08-10 11,0.0994929967151474,3.1e-08,13472936.0,2.9076830547e-08,0.06467109919970704,0.03813824183200648,0.10966292285105873,True
120,2021-08-10 12,0.1145432253613267,3.6972704883e-08,13966047.0,3.4890059352e-08,0.07480215028441672,0.04408138682536404,0.12693252390945522,True
121,2021-08-10 13,0.1413482783514803,4.776077939e-08,14001583.0,4.5921898505e-08,0.08711698464888427,0.051302294644857596,0.1479342993690961,True
122,2021-08-10 14,0.1310535811626314,4.5638749166e-08,13630245.0,4.355885921e-08,0.08424835708644336,0.04957813846524744,0.14316361790671453,True
